azonosító	vendégazonosító	menüazonosító	dátum	desszert	érkezés	távozás
1	191	C	2020.10.06	0	11:58:41	12:11:00
2	58	C	2020.10.26	0	12:42:31	12:56:29
3	197	D	2020.10.06	0	13:45:48	13:59:12
4	126	D	2020.10.16	0	12:54:35	13:07:30
5	116	B	2020.10.02	1	13:16:04	13:28:48
6	92	C	2020.10.07	0	12:17:49	12:30:05
7	66	C	2020.10.06	0	13:28:40	13:43:15
8	93	A	2020.10.02	1	13:12:33	13:26:45
9	113	B	2020.10.08	0	12:45:58	12:59:38
10	122	C	2020.10.12	1	13:36:11	13:49:33
11	190	C	2020.10.07	1	12:48:22	13:03:09
12	160	D	2020.10.07	1	11:44:51	11:58:33
13	47	B	2020.10.06	0	12:51:38	13:07:22
14	149	A	2020.10.05	1	13:36:36	13:52:05
15	75	B	2020.10.06	0	11:47:07	11:59:24
16	124	C	2020.10.22	1	13:20:46	13:35:20
17	55	D	2020.10.07	1	12:54:07	13:08:59
18	190	C	2020.10.19	0	12:46:27	13:01:42
19	83	B	2020.10.30	1	13:34:34	13:46:59
20	114	A	2020.10.01	0	13:39:05	13:53:35
21	114	B	2020.10.14	1	13:59:46	14:13:39
22	60	B	2020.10.16	0	11:45:38	11:58:10
23	181	C	2020.10.20	0	12:21:03	12:33:22
24	68	C	2020.10.28	0	13:23:06	13:37:39
25	14	B	2020.10.14	0	13:27:23	13:43:10
26	144	B	2020.10.07	1	13:17:15	13:29:50
27	50	B	2020.10.01	0	13:21:25	13:35:14
28	124	C	2020.10.27	1	13:03:31	13:17:44
29	179	B	2020.10.12	0	12:33:59	12:48:55
30	104	C	2020.10.19	1	12:44:37	12:58:07
31	131	A	2020.10.28	0	13:36:01	13:48:49
32	182	B	2020.10.21	1	11:50:48	12:06:25
33	48	C	2020.10.29	0	12:04:06	12:18:06
34	3	C	2020.10.28	0	12:46:58	12:59:41
35	176	A	2020.10.02	1	13:16:50	13:30:20
36	184	C	2020.10.01	1	12:15:02	12:29:07
37	33	B	2020.10.20	1	13:24:36	13:38:53
38	92	A	2020.10.29	0	13:10:13	13:22:59
39	73	D	2020.10.01	0	13:05:09	13:19:03
40	106	C	2020.10.02	0	13:35:22	13:47:23
41	53	B	2020.10.01	0	13:56:48	14:10:01
42	155	A	2020.10.29	0	13:47:36	14:01:15
43	63	D	2020.10.12	1	13:12:27	13:25:41
44	25	A	2020.10.02	0	13:15:28	13:28:27
45	158	A	2020.10.02	1	13:00:28	13:13:26
46	107	C	2020.10.06	0	13:28:42	13:44:24
47	29	C	2020.10.13	0	13:14:57	13:29:21
48	17	D	2020.10.01	1	13:06:36	13:21:07
49	92	B	2020.10.01	0	13:21:24	13:36:55
50	150	C	2020.10.22	0	13:19:22	13:34:12
51	121	A	2020.10.26	0	13:37:34	13:52:51
52	76	C	2020.10.06	0	13:12:30	13:24:33
53	77	C	2020.10.01	1	12:47:07	13:02:13
54	140	C	2020.10.15	0	14:04:14	14:19:11
55	116	A	2020.10.21	0	13:18:43	13:30:51
56	71	B	2020.10.15	1	13:10:53	13:25:15
57	138	C	2020.10.22	0	12:46:05	13:01:09
58	130	A	2020.10.12	0	13:44:20	13:56:33
59	143	B	2020.10.16	1	12:58:50	13:13:16
60	12	C	2020.10.01	1	11:54:35	12:08:02
61	66	B	2020.10.07	1	13:11:59	13:27:25
62	180	B	2020.10.16	0	13:05:09	13:20:37
63	27	A	2020.10.12	0	13:54:57	14:07:44
64	67	C	2020.10.16	0	12:52:56	13:08:49
65	8	D	2020.10.30	1	13:37:04	13:50:27
66	32	A	2020.10.14	1	12:04:53	12:20:31
67	169	B	2020.10.05	1	13:10:32	13:23:07
68	192	B	2020.10.01	1	13:37:53	13:51:01
