id	ügyfélid	típusid	bejelentés	befejezés	fizetés	idő	anyagár
1	197	5	2017.03.12	2017.03.15	2017.03.19	1	8000
2	183	1	2017.03.13	2017.03.19	2017.03.20	3	6800
3	195	1	2017.03.14	2017.03.15	2017.03.15	1	2800
4	5	4	2017.03.16	2017.03.23	2017.03.27	2	0
5	78	3	2017.03.18	2017.03.22	2017.03.24	1	4900
6	127	4	2017.03.21	2017.03.25	2017.03.28	2	1900
7	46	6	2017.03.21	2017.03.28	2017.03.28	3	4400
8	124	1	2017.03.22	2017.03.29	2017.04.01	2	7800
9	46	1	2017.03.22	2017.03.26	2017.03.30	3	4500
10	118	5	2017.03.22	2017.03.25	2017.03.28	3	7700
11	195	5	2017.03.25	2017.03.27	2017.04.01	2	2200
12	141	1	2017.03.25	2017.03.30	2017.04.04	2	3500
13	106	1	2017.03.26	2017.03.28	2017.04.02	3	5500
14	175	1	2017.03.26	2017.03.29	2017.03.29	2	3200
15	13	5	2017.03.27	2017.03.28	2017.03.28	1	3900
16	59	3	2017.03.28	2017.04.01	2017.04.03	1	1500
17	93	2	2017.03.30	2017.03.31	2017.03.31	3	1600
18	146	3	2017.04.02	2017.04.03	2017.04.04	1	4200
19	119	6	2017.04.05	2017.04.06	2017.04.06	2	19300
20	69	4	2017.04.07	2017.04.12	2017.04.15	3	2000
21	134	2	2017.04.10	2017.04.12	2017.04.12	3	5300
22	27	6	2017.04.11	2017.04.15	2017.04.18	2	15900
23	16	6	2017.04.12	2017.04.15	2017.04.16	3	19900
24	192	6	2017.04.14	2017.04.17	2017.04.21	1	10000
25	83	6	2017.04.15	2017.04.19	2017.04.24	3	14900
26	86	1	2017.04.16	2017.04.17	2017.04.17	2	6500
27	146	6	2017.04.18	2017.04.20	2017.04.24	3	7000
28	58	3	2017.04.18	2017.04.21	2017.04.25	1	4900
29	110	2	2017.04.21	2017.04.27	2017.04.30	1	9200
30	117	3	2017.04.24	2017.04.30	2017.05.03	3	1100
31	120	6	2017.04.25	2017.04.28	2017.05.01	2	6100
32	114	2	2017.04.26	2017.04.27	2017.04.27	1	4000
33	65	4	2017.04.27	2017.04.29	2017.04.30	2	200
34	22	4	2017.04.27	2017.04.29	2017.05.04	1	1900
35	149	5	2017.04.29	2017.04.30	2017.05.02	3	6300
36	193	6	2017.05.01	2017.05.02	2017.05.07	1	6600
37	24	3	2017.05.03	2017.05.10	2017.05.15	2	3100
38	57	3	2017.05.03	2017.05.04	2017.05.08	3	3600
39	52	1	2017.05.04	2017.05.05	2017.05.08	2	6000
40	22	3	2017.05.07	2017.05.11	2017.05.14	3	2800
41	191	4	2017.05.08	2017.05.12	2017.05.16	3	1800
42	53	1	2017.05.11	2017.05.17	2017.05.22	1	6000
43	17	1	2017.05.11	2017.05.12	2017.05.12	2	6100
44	164	5	2017.05.13	2017.05.19	2017.05.23	3	5900
45	30	2	2017.05.15	2017.05.16	2017.05.17	3	4800
46	19	1	2017.05.16	2017.05.19	2017.05.24	2	6300
47	59	4	2017.05.17	2017.05.23	2017.05.26	2	100
48	98	2	2017.05.18	2017.05.25	2017.05.26	1	11500
49	75	1	2017.05.21	2017.05.23	2017.05.27	1	6200
50	38	2	2017.05.22	2017.05.29	2017.06.03	3	10600
51	183	1	2017.05.23	2017.05.28	2017.05.29	2	2000
52	125	1	2017.05.25	2017.05.31	2017.06.01	1	5200
53	44	6	2017.05.26	2017.06.01	2017.06.03	3	11600
54	117	3	2017.05.26	2017.05.27	2017.05.28	2	1100
55	27	5	2017.05.26	2017.05.30	2017.06.01	1	4400
56	160	6	2017.05.27	2017.05.29	2017.06.02	2	15500
57	149	4	2017.05.29	2017.06.02	2017.06.07	1	200
58	123	1	2017.05.29	2017.06.04	2017.06.05	3	6300
59	99	1	2017.05.31	2017.06.03	2017.06.08	1	6800
60	172	3	2017.06.01	2017.06.02	2017.06.05	1	4700
61	196	5	2017.06.01	2017.06.06	2017.06.06	2	2000
62	132	3	2017.06.02	2017.06.08	2017.06.08	3	3500
63	68	6	2017.06.02	2017.06.04	2017.06.09	1	11000
64	86	3	2017.06.03	2017.06.05	2017.06.10	2	4300
